Id,name,city_id,,,,
268,鹿島（長崎）,1854093,,,,
269,大島（西海）,1851937,,,,
270,寺島（西海）,1851937,,,,
271,蛎浦島,1851937,,,,
272,崎戸島,1851937,,,,
273,江島（長崎）,1851937,,,,
274,平島（長崎）,1863997,,,,
275,南串島,1851937,,,,
276,松島（長崎）,1851937,,,,
277,池島,1851937,,,,
278,伊王島,1856177,,,,
279,沖之島（長崎）,1856177,,,,
280,高島（長崎市）,1856177,,,,
281,樺島,1856177,,,,
282,牧島（長崎）,1856177,,,,
283,宇久島,1862555,,,,
284,寺島（佐世保）,1862555,,,,
285,六島（長崎）,1862555,,,,
286,野崎島,1862555,,,,
287,納島,1862555,,,,
288,小値賀島,1862555,,,,
289,斑島,1862555,,,,
290,黒島（小値賀）,1862555,,,,
291,大島（小値賀）,1862555,,,,
292,中通島,1863997,,,,
293,頭ケ島,1863997,,,,
294,桐ノ小島,1863997,,,,
295,若松島,1863997,,,,
296,漁生浦島,1863997,,,,
297,有福島,1863997,,,,
298,日ノ島,1863997,,,,
299,奈留島,1863997,,,,
300,前島（五島）,1863997,,,,
301,久賀島,1863997,,,,
302,蕨小島,1863997,,,,
303,椛島,1863997,,,,
304,福江島,1863997,,,,
305,赤島（五島）,1863997,,,,
306,黄島（長崎）,1863997,,,,
307,黒島（五島）,1863997,,,,
308,島山島（五島）,1863997,,,,
309,嵯峨島,1863997,,,,
310,戸馳島,1849069,,,,
311,大矢野島,1862230,,,,
312,維和島,1862230,,,,
313,野牛島,1862230,,,,
314,湯島,1862230,,,,
315,野釜島,1862230,,,,
316,永浦島,1862230,,,,
317,樋合島,1862230,,,,
318,前島（熊本）,1848445,,,,
319,中島（熊本）,1858421,,,,
320,天草上島,1862230,,,,
321,樋島,1862230,,,,
322,御所浦島,1849633,,,,
323,牧島（熊本）,1862230,,,,
324,横浦島,1862230,,,,
325,天草下島,1862230,,,,
326,通詞島,1862230,,,,
327,横島（熊本）,1850745,,,,
328,下須島,1849154,,,,
329,姫島（大分）,7279571,,,,
330,黒島（大分）,1849094,,,,
331,保戸島,1849661,,,,
332,地無垢島,1849661,,,,
333,大入島,1853237,,,,
334,大島（大分）,1853237,,,,
335,屋形島,1853237,,,,
336,深島,1853237,,,,
337,島野浦島,1855095,,,,
338,大島（宮崎）,1855476,,,,
339,築島,1895695,,,,
340,獅子島,1857208,,,,
341,伊唐島,1849154,,,,
342,諸浦島,1849154,,,,
343,長島（鹿児島）,1849154,,,,
344,桂島（鹿児島）,1861108,,,,
345,上甑島,1865401,,,,
346,中甑島,1865401,,,,
347,下甑島,1858041,,,,
348,新島（鹿児島）,1858972,,,,
349,種子島,1860941,,,,
350,馬毛島,1855203,,,,
351,屋久島,1855203,,,,
352,口永良部島,1855203,,,,
353,竹島（鹿児島）,1857712,,,,
354,硫黄島（鹿児島）,1857712,,,,
355,黒島（鹿児島）,1857712,,,,
356,口之島,1855203,,,,
357,中之島,1855203,,,,
358,諏訪之瀬島,1855540,,,,
359,平島（鹿児島）,1855540,,,,
360,悪石島,1855540,,,,
361,小宝島,1855540,,,,
362,宝島,1855540,,,,
363,奄美大島,1855540,,,,
364,加計呂麻島,1849347,,,,
365,請島,1849347,,,,
366,与路島,1849347,,,,
367,喜界島,1855540,,,,
368,徳之島,1848988,,,,
369,沖永良部島,1848988,,,,
370,与論島,1864655,,,,
371,南大東島,1852038,,,,
372,北大東島,1855847,,,,
373,伊平屋島,1861124,,,,
374,野甫島,1861124,,,,
375,伊是名島,1861124,,,,
376,宮城島（大宜味村）,1855713,,,,
377,古宇利島,1855713,,,,
378,屋我地島,1855713,,,,
379,伊江島,1894388,,,,
380,瀬底島,1894388,,,,
381,水納島（本部）,1894388,,,,
382,平安座島,1894616,,,,
383,宮城島（うるま）,1894616,,,,
384,伊計島,1894616,,,,
385,浜比嘉島,1894616,,,,
386,津堅島,1894616,,,,
387,久高島,1856035,,,,
388,奥武島（南城）,1856035,,,,
389,瀬長島,1856035,,,,
390,前島（沖縄）,1848002,,,,
391,渡嘉敷島,1848002,,,,
392,座間味島,1848002,,,,
393,阿嘉島,1848002,,,,
394,慶留間島,1848002,,,,
395,粟国島,1855357,,,,
396,渡名喜島,1848002,,,,
397,久米島,1848002,,,,
398,奥武島（久米島町）,1848002,,,,
399,オーハ島,1848002,,,,
400,宮古島,1862505,,,,
401,池間島,1862505,,,,
402,大神島,1862505,,,,
403,来間島,1862505,,,,
404,伊良部島,7533595,,,,
405,下地島,7533595,,,,
406,多良間島,7533595,,,,
407,水納島（多良間）,7533595,,,,
408,石垣島,1861416,,,,
409,竹富島,1850822,,,,
410,小浜島,1850822,,,,
411,嘉弥真島,1850822,,,,
412,黒島（沖縄）,1850822,,,,
413,新城島上地,1850822,,,,
414,新城島下地,1850822,,,,
415,西表島,1850822,,,,
416,由布島,1850822,,,,
417,鳩間島,1850822,,,,
418,波照間島,1850822,,,,
419,外離島,1850822,,,,
420,与那国島,1848266,,,,
